Song #,Song Name,Artist,dl,Anger,Sad,Happy,Tender,energy,valence,song_url,id
1,Shape of You,Ed Sheeran,1,1,1,4,1,0.652,0.931,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,7qiZfU4dY1lWllzX7mPBI3
2,Rockstar,"Post Malone, 21 Savage",0,2,2,2,1,0.52,0.129,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,0e7ipj03S05BNilyu5bRzt
3,One Dance,"Drake, WizKid, Kyla",0,2,1,4,1,0.625,0.37,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0,1zi7xx7UVEFkmKfv06H8x0
4,Dance Monkey,Tones and I,1,2,1,4,1,0.588,0.513,https://open.spotify.com/track/2XU0oxnq2qxCpomAAuJY8K,2XU0oxnq2qxCpomAAuJY8K
5,Closer,"The Chainsmokers, Halsey",1,1,4,1,2,0.524,0.661,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,7BKLCZ1jbUBVqRi2FVlTVw
6,Sunflower- Spider-Man: Into the Spider-Verse,Post Malone,0,1,1,4,3,0.479,0.913,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,3KkXRkHbMCARz0aVfEt68P
7,Thiking out Loud,Ed Sheeran,1,1,2,1,4,0.42,0.871,https://open.spotify.com/track/7zuT8fUlFALduGgMty6QOn,7zuT8fUlFALduGgMty6QOn
8,God's Plan,Drake,0,4,1,1,1,0.449,0.357,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,6DCZcSspjsKoFjzjrWoCdn
9,Senorita,"Shawn Mendes, Camila Cabello",0,2,1,5,1,0.54,0.75,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik,0TK2YIli7K1leLovkQiNik
10,bad guy,Billie Eilish,0,4,4,1,1,0.425,0.562,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2Fxmhks0bxGSBdJ92vM42m
11,Bliding Lights,The Weeknd,1,4,3,1,1,0.411,0.915,https://open.spotify.com/track/3Iy7HHDobkkXJuBrSbuoU0,3Iy7HHDobkkXJuBrSbuoU0
12,Someone You Loved,Lewis Capaldi,0,3,4,1,2,0.405,0.446,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,7qEHsqek33rTcFNT9PFqLf
13,Perfect,Ed Sheeran,1,1,1,2,4,0.448,0.168,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,0tgVpDi06FyKpA1z0VMD4v
14,Say you Won't Let Go,James Arthur,1,1,2,1,4,0.557,0.494,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,5uCax9HTNlzGybIStD3vDh
15,Havana,"Camila Cabello, Young Thug",1,1,1,5,1,0.523,0.394,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,1rfofaqEpACxVEHIZBJe6W
16,Believer,Imagine Dragons,0,5,1,2,1,0.78,0.666,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,0pqnGHJpmpxLKifKRmU6WP
17,Photograph,Ed Sheeran,1,1,2,2,4,0.379,0.201,https://open.spotify.com/track/1HNkqx9Ahdgi1Ixy2xkKkL,1HNkqx9Ahdgi1Ixy2xkKkL
18,Love Yourself,Justin Bieber,0,1,1,3,3,0.378,0.515,https://open.spotify.com/track/50kpGaPAhYJ3sGmk6vplg0,50kpGaPAhYJ3sGmk6vplg0
19,Starboy,The Weeknd,0,3,1,2,1,0.587,0.486,https://open.spotify.com/track/7MXVkk9YMctZqd1Srtv4MB,7MXVkk9YMctZqd1Srtv4MB
20,New Rules,Dua Lipa,1,3,1,2,1,0.7,0.608,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,2ekn2ttSfGqwhhate0LSR0
21,SAD!,XXXTENTACION,0,3,4,1,2,0.613,0.473,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,3ee8Jmje8o58CHK66QrVC2
22,Lean On,"Major Lazer, DJ Snake",1,1,2,4,1,0.809,0.274,https://open.spotify.com/track/1Lim1Py7xBgbAkAys3AGAG,1Lim1Py7xBgbAkAys3AGAG
23,Something Just Like This,The Chainsmokers,1,2,2,4,2,0.635,0.446,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,6RUKPb4LETWmmr3iAEQktW
24,Lucid Dreams,Juice WRLD,0,3,4,1,2,0.566,0.218,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,285pBltuF7vW8TeWk8hdRR
25,Despacito - Remix,"Luis Fonsi, Justin Bieber",0,1,2,4,1,0.816,0.816,https://open.spotify.com/track/6rPO02ozF3bM7NnOV4h6s2,6rPO02ozF3bM7NnOV4h6s2
26,Thunder,Imagine Dragon,0,2,1,4,1,0.822,0.288,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,1zB4vmk8tFRmM9UULNzbLB
