Song Name,Artist,dl,Anger,Sad,Happy,Tender,energy,valence,song_url,id,update_frequency
Shape of You,Ed Sheeran,1,1.0,1.0,4.0,1.0,0.652,0.9309999999999999,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3,7qiZfU4dY1lWllzX7mPBI3,1
Rockstar,"Post Malone, 21 Savage",0,2.0,2.0,2.0,1.0,0.52,0.129,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,0e7ipj03S05BNilyu5bRzt,1
One Dance,"Drake, WizKid, Kyla",0,2.0,1.0,4.0,1.0,0.625,0.37,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0,1zi7xx7UVEFkmKfv06H8x0,1
Dance Monkey,Tones and I,1,2.0,1.0,4.0,1.0,0.588,0.513,https://open.spotify.com/track/2XU0oxnq2qxCpomAAuJY8K,2XU0oxnq2qxCpomAAuJY8K,1
Closer,"The Chainsmokers, Halsey",1,1.0,4.0,1.0,2.0,0.524,0.6609999999999999,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,7BKLCZ1jbUBVqRi2FVlTVw,1
Sunflower- Spider-Man: Into the Spider-Verse,Post Malone,0,1.0,1.0,4.0,3.0,0.479,0.9129999999999999,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,3KkXRkHbMCARz0aVfEt68P,1
Thiking out Loud,Ed Sheeran,1,1.0,2.0,1.0,4.0,0.42,0.871,https://open.spotify.com/track/7zuT8fUlFALduGgMty6QOn,7zuT8fUlFALduGgMty6QOn,1
God's Plan,Drake,0,4.0,1.0,1.0,1.0,0.449,0.35700000000000004,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,6DCZcSspjsKoFjzjrWoCdn,1
Senorita,"Shawn Mendes, Camila Cabello",0,2.0,1.0,5.0,1.0,0.54,0.75,https://open.spotify.com/track/0TK2YIli7K1leLovkQiNik,0TK2YIli7K1leLovkQiNik,1
bad guy,Billie Eilish,0,4.0,4.0,1.0,1.0,0.425,0.562,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2Fxmhks0bxGSBdJ92vM42m,1
Bliding Lights,The Weeknd,1,4.0,3.0,1.0,1.0,0.41100000000000003,0.915,https://open.spotify.com/track/3Iy7HHDobkkXJuBrSbuoU0,3Iy7HHDobkkXJuBrSbuoU0,1
Someone You Loved,Lewis Capaldi,0,3.0,4.0,1.0,2.0,0.405,0.446,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,7qEHsqek33rTcFNT9PFqLf,1
